,combination,difference,distance,gen,tra
15,509.652743549,101.459237746,4.08193505803,15,0
15,480.808156749,82.0363481698,3.98771808579,15,0
15,480.043407939,79.5851051734,4.00458302766,15,0
15,98.8704571375,12.3416202679,0.865288368696,15,0
15,415.916753903,59.2800794263,3.56636674476,15,0
15,323.706467931,42.8382015404,2.8086826639,15,0
15,545.975466706,87.9920982461,4.57983368459,15,0
15,354.552568533,29.8051571781,3.24747411355,15,0
15,613.398891086,69.2910156513,5.44107875435,15,0
15,536.176695174,65.4979929534,4.7067870222,15,0
15,215.750656639,25.952646276,1.89798010363,15,0
15,539.394049895,41.4113483396,4.97982701555,15,0
15,554.327373803,37.9210420252,5.16406331778,15,0
15,447.116671961,38.8958811955,4.08220790766,15,0
15,318.695334839,20.2997203212,2.98395614518,15,0
16,366.620035344,33.7625489484,3.32857486395,16,0
16,539.953830507,60.6039334193,4.79349897088,16,0
16,215.750656639,25.952646276,1.89798010363,16,0
16,354.552568533,29.8051571781,3.24747411355,16,0
16,566.45368703,44.8642306148,5.21589456415,16,0
16,295.646649305,31.9773861164,2.63669263188,16,0
16,539.394049895,41.4113483396,4.97982701555,16,0
16,456.745952833,41.5868594149,4.15159093418,16,0
16,386.812450346,37.1102032857,3.4970224706,16,0
16,554.327373803,37.9210420252,5.16406331778,16,0
16,447.116671961,38.8958811955,4.08220790766,16,0
16,318.695334839,20.2997203212,2.98395614518,16,0
16,512.459031832,22.8558194646,4.89603212368,16,0
16,454.468396523,21.2653925646,4.33203003959,16,0
16,209.168726248,0.21853411792,2.0895019213,16,0
17,978.944945911,73.7698640137,9.05175081898,17,0
17,256.387668464,4.19375286863,2.52193915596,17,0
17,229.451870235,11.0002351212,2.18451635113,17,0
17,209.168726248,0.21853411792,2.0895019213,17,0
17,580.63637188,42.6485190715,5.37987852809,17,0
17,394.020571202,27.0958582912,3.66924712911,17,0
17,260.227132486,8.54366428762,2.51683468198,17,0
17,585.009626301,11.8828385741,5.73126787727,17,0
17,344.939312023,4.65543958137,3.40283872441,17,0
17,468.410004834,23.5697569236,4.4484024791,17,0
17,487.553354937,24.2681657685,4.63285189169,17,0
17,559.098372146,26.9918735211,5.32106498625,17,0
17,577.708942032,29.5361998162,5.48172742216,17,0
17,1552.88995135,65.9266142223,14.8696333712,17,0
17,742.964087522,36.0027740794,7.06961313443,17,0
18,344.939312023,4.65543958137,3.40283872441,18,0
18,585.009626301,11.8828385741,5.73126787727,18,0
18,468.410004834,23.5697569236,4.4484024791,18,0
18,904.170761745,28.7171871091,8.75453574636,18,0
18,487.553354937,24.2681657685,4.63285189169,18,0
18,902.92130484,30.7364938913,8.72184810949,18,0
18,779.544575536,45.9588455315,7.33585730004,18,0
18,577.708942032,29.5361998162,5.48172742216,18,0
18,559.098372146,26.9918735211,5.32106498625,18,0
18,560.821210382,19.1499094923,5.41671300889,18,0
18,1104.01678143,66.8204714271,10.3719631001,18,0
18,742.964087522,36.0027740794,7.06961313443,18,0
18,1552.88995135,65.9266142223,14.8696333712,18,0
18,929.64144883,49.9399333147,8.79701515516,18,0
18,873.832568647,40.5826151335,8.33249953514,18,0
19,585.009626301,11.8828385741,5.73126787727,19,0
19,904.170761745,28.7171871091,8.75453574636,19,0
19,560.821210382,19.1499094923,5.41671300889,19,0
19,565.54003121,17.5100677709,5.48029963439,19,0
19,775.950861332,39.9804471574,7.35970414174,19,0
19,1632.1228261,96.8454795697,15.3527734653,19,0
19,742.964087522,36.0027740794,7.06961313443,19,0
19,902.92130484,30.7364938913,8.72184810949,19,0
19,929.64144883,49.9399333147,8.79701515516,19,0
19,800.007999512,30.9150415405,7.69092957972,19,0
19,871.370611744,33.4728850217,8.37897726722,19,0
19,1449.29882497,58.8600537199,13.9043877125,19,0
19,873.832568647,40.5826151335,8.33249953514,19,0
19,1552.88995135,65.9266142223,14.8696333712,19,0
19,1575.54526578,81.4791428886,14.9406612289,19,0
20,553.628752714,24.9241399235,5.2870461279,20,0
20,1450.56177893,88.1351504813,13.6242662845,20,0
20,658.2835846,28.1742000453,6.30109384554,20,0
20,1048.15310653,47.0587095618,10.0109439696,20,0
20,927.207808203,52.1692199295,8.75038588273,20,0
20,775.950861332,39.9804471574,7.35970414174,20,0
20,742.964087522,36.0027740794,7.06961313443,20,0
20,873.832568647,40.5826151335,8.33249953514,20,0
20,864.336326988,40.6754216996,8.23660905288,20,0
20,929.64144883,49.9399333147,8.79701515516,20,0
20,1173.60832644,55.8517216312,11.1775660481,20,0
20,1632.1228261,96.8454795697,15.3527734653,20,0
20,1186.90491118,63.6009730484,11.2330393813,20,0
20,1575.54526578,81.4791428886,14.9406612289,20,0
20,1882.61670632,104.93586807,17.7768083825,20,0
21,1186.90491118,63.6009730484,11.2330393813,21,0
21,1575.54526578,81.4791428886,14.9406612289,21,0
21,1817.53316183,119.997957315,16.9753520451,21,0
21,1274.80069572,69.1057162588,12.0569497946,21,0
21,1958.90048524,129.571178204,18.2932930704,21,0
21,1450.56177893,88.1351504813,13.6242662845,21,0
21,1803.50189736,96.5654413406,17.0693645602,21,0
21,1567.26477839,95.9405251334,14.7132425325,21,0
21,1632.1228261,96.8454795697,15.3527734653,21,0
21,1882.61670632,104.93586807,17.7768083825,21,0
21,1981.20666072,125.993033352,18.5521362736,21,0
21,1990.63057435,120.053535005,18.7057703934,21,0
21,2000.97256436,119.847004253,18.8112556011,21,0
21,2131.82798491,126.575702158,20.0525228275,21,0
21,2337.30451392,138.513321868,21.9879119205,21,0
22,1567.26477839,95.9405251334,14.7132425325,22,0
22,1882.61670632,104.93586807,17.7768083825,22,0
22,1849.7776982,114.851174339,17.3492652386,22,0
22,1632.1228261,96.8454795697,15.3527734653,22,0
22,1885.95520864,110.128156884,17.7582705176,22,0
22,2282.57206401,131.972677723,21.5059938629,22,0
22,1879.05607932,111.538637593,17.6751744173,22,0
22,1990.63057435,120.053535005,18.7057703934,22,0
22,2000.97256436,119.847004253,18.8112556011,22,0
22,2075.63175903,122.530478501,19.5310128053,22,0
22,2108.86318212,124.955425082,19.8390775704,22,0
22,2107.33177874,126.146414554,19.8118536419,22,0
22,2131.82798491,126.575702158,20.0525228275,22,0
22,2214.76510259,131.312398935,20.8345270365,22,0
22,2337.30451392,138.513321868,21.9879119205,22,0
23,1682.50405001,99.6355730863,15.8286847692,23,0
23,1499.75713326,76.6195669451,14.2313756631,23,0
23,1885.95520864,110.128156884,17.7582705176,23,0
23,1882.61670632,104.93586807,17.7768083825,23,0
23,1875.7597265,104.677771985,17.7108195451,23,0
23,1919.27417435,109.23612371,18.1003805064,23,0
23,1556.69235947,81.7130707489,14.7497928872,23,0
23,1467.15967253,85.767245893,13.8139242663,23,0
23,1562.4912756,82.8846621898,14.7960661341,23,0
23,1044.47720865,47.3835038178,9.97093704831,23,0
23,1647.25076097,90.9618073449,15.5628895363,23,0
23,1285.72976117,66.4802133845,12.1924954778,23,0
23,1166.35090543,63.3161522359,11.030347532,23,0
23,1047.60251218,57.8983061968,9.89704205981,23,0
23,937.861414731,47.761031788,8.90100382943,23,0
24,1285.72976117,66.4802133845,12.1924954778,24,0
24,1044.47720865,47.3835038178,9.97093704831,24,0
24,957.509991817,40.7225966026,9.16787395215,24,0
24,1296.39655901,73.5413458853,12.2285521313,24,0
24,1166.35090543,63.3161522359,11.030347532,24,0
24,584.326725427,14.2789981521,5.70047727275,24,0
24,1011.92077192,51.32956765,9.60591204275,24,0
24,980.438868863,48.6571458051,9.31781723057,24,0
24,820.299059777,35.8407648723,7.84458294904,24,0
24,1047.60251218,57.8983061968,9.89704205981,24,0
24,1008.04291353,59.241505925,9.48801407608,24,0
24,937.861414731,47.761031788,8.90100382943,24,0
24,1000.10401675,54.464359001,9.45639657744,24,0
24,905.362954875,56.0059155354,8.49357039339,24,0
24,573.327051524,34.2685373941,5.3905851413,24,0
25,973.237969013,52.7926012072,9.20445367806,25,0
25,937.861414731,47.761031788,8.90100382943,25,0
25,820.299059777,35.8407648723,7.84458294904,25,0
25,809.377347417,49.7837239199,7.59593623497,25,0
25,897.776282213,51.6407589261,8.46135523287,25,0
25,878.003853226,49.3196303592,8.28684222867,25,0
25,584.326725427,14.2789981521,5.70047727275,25,0
25,815.593182888,39.0239398507,7.76569243038,25,0
25,460.851635057,2.33186204945,4.58519773007,25,0
25,609.349847223,19.6434450661,5.89706402157,25,0
25,743.410168617,36.1970363442,7.07213132273,25,0
25,573.327051524,34.2685373941,5.3905851413,25,0
25,543.948673225,22.6879968404,5.21260676385,25,0
25,401.406884815,4.23544500652,3.97171439809,25,0
25,301.68502488,33.7966334671,2.67888391413,25,0
26,743.410168617,36.1970363442,7.07213132273,26,0
26,665.334394358,26.5518126931,6.38782581665,26,0
26,609.349847223,19.6434450661,5.89706402157,26,0
26,592.392365248,36.6253528507,5.55767012398,26,0
26,460.851635057,2.33186204945,4.58519773007,26,0
26,677.954295725,35.4961539552,6.4245814177,26,0
26,573.327051524,34.2685373941,5.3905851413,26,0
26,451.395810354,7.44441585674,4.43951394497,26,0
26,543.948673225,22.6879968404,5.21260676385,26,0
26,485.438847602,14.9156114612,4.7052323614,26,0
26,401.406884815,4.23544500652,3.97171439809,26,0
26,320.431160854,15.9403400822,3.04490820771,26,0
26,301.68502488,33.7966334671,2.67888391413,26,0
26,251.064384729,4.73657016062,2.46327814568,26,0
26,241.442390633,16.491458979,2.24950931654,26,0
27,401.406884815,4.23544500652,3.97171439809,27,0
27,393.315246244,21.2434870567,3.72071759187,27,0
27,391.769432381,40.340008766,3.51429423615,27,0
27,391.827105885,7.56003698024,3.84267068905,27,0
27,395.558091886,14.4968401572,3.81061251729,27,0
27,296.850580774,19.6927854243,2.7715779535,27,0
27,320.431160854,15.9403400822,3.04490820771,27,0
27,321.217226144,25.9695266469,2.95247699497,27,0
27,318.741497775,30.8888645263,2.87852633248,27,0
27,251.064384729,4.73657016062,2.46327814568,27,0
27,263.721982385,22.9029967659,2.40818985619,27,0
27,241.442390633,16.491458979,2.24950931654,27,0
27,301.68502488,33.7966334671,2.67888391413,27,0
27,144.717217319,7.27365616291,1.37443561156,27,0
27,75.0284915696,5.15124802988,0.698772435397,27,0
28,602.251710724,44.1308183227,5.58120892401,28,0
28,241.442390633,16.491458979,2.24950931654,28,0
28,251.064384729,4.73657016062,2.46327814568,28,0
28,311.063911197,7.1340885688,3.03929822628,28,0
28,393.315246244,21.2434870567,3.72071759187,28,0
28,316.485175243,14.0003111153,3.02484864128,28,0
28,320.431160854,15.9403400822,3.04490820771,28,0
28,349.777377973,25.4720124826,3.2430536549,28,0
28,296.850580774,19.6927854243,2.7715779535,28,0
28,624.423262919,167.686319816,4.56736943103,28,0
28,144.717217319,7.27365616291,1.37443561156,28,0
28,298.52313923,39.8034396198,2.5871969961,28,0
28,144.778177905,17.7782277113,1.26999950194,28,0
28,64.599980967,7.74152353366,0.568584574334,28,0
28,75.0284915696,5.15124802988,0.698772435397,28,0
29,238.247544468,28.9029321731,2.09344612295,29,0
29,158.046682796,11.9510036654,1.4609567913,29,0
29,144.717217319,7.27365616291,1.37443561156,29,0
29,100.215114059,9.92986450302,0.902852495564,29,0
29,123.454646399,13.4397738185,1.1001487258,29,0
29,64.599980967,7.74152353366,0.568584574334,29,0
29,85.7723394516,9.46161099269,0.763107284589,29,0
29,144.778177905,17.7782277113,1.26999950194,29,0
29,298.52313923,39.8034396198,2.5871969961,29,0
29,162.946437773,20.4509621659,1.42495475607,29,0
29,75.0284915696,5.15124802988,0.698772435397,29,0
29,125.235741181,7.40664031085,1.1782910087,29,0
29,519.747795011,96.5148252595,4.23232969751,29,0
29,331.672538996,39.4630097272,2.92209529269,29,0
29,554.269959177,129.112509144,4.25157450033,29,0
30,492.780613802,85.2722587271,4.07508355075,30,0
30,140.763911422,17.7565224087,1.23007389013,30,0
30,162.946437773,20.4509621659,1.42495475607,30,0
30,298.52313923,39.8034396198,2.5871969961,30,0
30,186.386558997,22.9009272565,1.63485631741,30,0
30,281.667211869,32.0899797892,2.49577232079,30,0
30,284.248655742,32.5999813611,2.51648674381,30,0
30,519.747795011,96.5148252595,4.23232969751,30,0
30,301.008872695,30.6230458552,2.7038582684,30,0
30,503.584706376,74.7339985905,4.28850707785,30,0
30,331.672538996,39.4630097272,2.92209529269,30,0
30,385.331147537,33.2470515951,3.52084095942,30,0
30,668.838258355,136.029608558,5.32808649797,30,0
30,554.269959177,129.112509144,4.25157450033,30,0
30,546.300464105,124.94138066,4.21359083445,30,0
31,281.667211869,32.0899797892,2.49577232079,31,0
31,331.672538996,39.4630097272,2.92209529269,31,0
31,431.247278412,55.8682569474,3.75379021464,31,0
31,405.79990398,26.7964429005,3.7900346108,31,0
31,728.892714008,132.403524813,5.96489189195,31,0
31,301.008872695,30.6230458552,2.7038582684,31,0
31,668.838258355,136.029608558,5.32808649797,31,0
31,385.331147537,33.2470515951,3.52084095942,31,0
31,643.042854723,135.403696878,5.07639157845,31,0
31,546.300464105,124.94138066,4.21359083445,31,0
31,558.304535296,121.54624014,4.36758295156,31,0
31,554.504620716,124.186267713,4.30318353003,31,0
31,554.269959177,129.112509144,4.25157450033,31,0
31,590.218931351,119.929593524,4.70289337827,31,0
31,635.127829038,106.229551793,5.28898277245,31,0
32,508.524646774,87.4981721089,4.21026474665,32,0
32,504.015219776,86.4474683234,4.17567751452,32,0
32,360.38162101,49.8588673279,3.10522753682,32,0
32,280.938246297,23.9416714265,2.5699657487,32,0
32,538.053196072,117.501553995,4.20551642077,32,0
32,281.667211869,32.0899797892,2.49577232079,32,0
32,331.672538996,39.4630097272,2.92209529269,32,0
32,431.247278412,55.8682569474,3.75379021464,32,0
32,443.587193189,65.6126140193,3.7797457917,32,0
32,517.622388801,78.5474701397,4.39074918661,32,0
32,475.099874623,78.3562497262,3.96743624896,32,0
32,527.586887011,102.389566527,4.25197320484,32,0
32,413.065316671,60.0488879849,3.53016428686,32,0
32,325.243045102,32.4573545822,2.9278569052,32,0
32,458.368630089,71.8813685545,3.86487261535,32,0
33,373.688878863,32.4962532858,3.41192625578,33,0
33,285.671212706,36.3946994237,2.49276513282,33,0
33,527.586887011,102.389566527,4.25197320484,33,0
33,459.200364884,67.1802809476,3.92020083936,33,0
33,350.241647523,48.4016578931,3.0183998963,33,0
33,567.82976635,114.571688849,4.53258077501,33,0
33,342.618432043,33.5239655181,3.09094466525,33,0
33,153.61492445,11.4804054521,1.42134518998,33,0
33,538.053196072,117.501553995,4.20551642077,33,0
33,431.247278412,55.8682569474,3.75379021464,33,0
33,117.865085217,11.365575246,1.0649950997,33,0
33,338.914085088,43.3608102739,2.95553274814,33,0
33,331.672538996,39.4630097272,2.92209529269,33,0
33,281.667211869,32.0899797892,2.49577232079,33,0
33,885.086508563,61.4624979257,8.23624010637,33,0
34,549.143263407,137.678960594,4.11464302813,34,0
34,567.82976635,114.571688849,4.53258077501,34,0
34,538.053196072,117.501553995,4.20551642077,34,0
34,431.247278412,55.8682569474,3.75379021464,34,0
34,448.941816392,57.8347047914,3.91107111601,34,0
34,373.688878863,32.4962532858,3.41192625578,34,0
34,338.914085088,43.3608102739,2.95553274814,34,0
34,373.119051908,35.7072591084,3.37411792799,34,0
34,331.672538996,39.4630097272,2.92209529269,34,0
34,342.618432043,33.5239655181,3.09094466525,34,0
34,281.667211869,32.0899797892,2.49577232079,34,0
34,153.61492445,11.4804054521,1.42134518998,34,0
34,117.865085217,11.365575246,1.0649950997,34,0
34,1133.01968739,61.5654829402,10.7145420445,34,0
34,885.086508563,61.4624979257,8.23624010637,34,0
35,373.119051908,35.7072591084,3.37411792799,35,0
35,281.667211869,32.0899797892,2.49577232079,35,0
35,192.1209912,5.24892316931,1.86872068031,35,0
35,153.61492445,11.4804054521,1.42134518998,35,0
35,201.816197628,21.827356977,1.7998884065,35,0
35,659.125520143,55.2830158371,6.03842504305,35,0
35,117.865085217,11.365575246,1.0649950997,35,0
35,1368.99949352,102.833810691,12.6616568283,35,0
35,1280.36157028,67.1244494093,12.1323712088,35,0
35,996.033299441,74.3749997253,9.21658299716,35,0
35,1133.01968739,61.5654829402,10.7145420445,35,0
